"4a455820-d761-0130-968a-58d385a7bbd0",40868,"Billy Rose Theatre Division book file","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"http://digitalcollections.nypl.org/collections/4a455820-d761-0130-968a-58d385a7bbd0"
"6a016ad0-dc45-0130-12fb-58d385a7b928",40871,"Annual report of the American Type Founders' Company","","American Type Founders Company | American Type Founders Company -- Periodicals",1893,1893,1950,"English","","Note: Description based on: 2nd (1894).","Type and type-founding--United States","American Type Founders Company -- Periodicals","","","","","annual reports","b15476423","","*IPV (American Type Founders, inc. Annual report)","","","","","","","v. ; 25 cm.","","The Company","Jersey City, N.J.",2,"http://digitalcollections.nypl.org/collections/6a016ad0-dc45-0130-12fb-58d385a7b928"
"3effd3b0-dd15-0130-c112-58d385a7b928",40873,"Lestrente-six vues de la tour Eiffel","Les trente-six vues de la tour Eiffel, par Henri Rivière; prologue d'Arsène Alexandre.","Rivière, Henri, 1864-1951 | Alexandre, Arsène, 1859-1937","1902",1902,"","French","","Note: With autograph of the artist.","Eiffel Tower (Paris, France)","","","","","","","b13999405","","MEM+ R625rt (Rivière, H. Trente-six vues de la tour Eiffel)","","","","","","","2 p.l., v, 1 l., 36 pl., 2 l. 8vo.","Lithographs","E. Verneau","Paris",1,"http://digitalcollections.nypl.org/collections/3effd3b0-dd15-0130-c112-58d385a7b928"
"111ce000-f2f6-0130-47ae-58d385a7b928",40889,"Tracts on Romanism","","",1800,1800,1899,"English","","Note: Reissue of various tracts.","","Catholic Church -- Antiquities","","","","text","Books","b13491940","","ZMY (American Tract Society, New York. Tracts on Romanism)","","","","","","","11 parts in 1 v. illus. 19 cm.","","Amer. Tract Soc.","New York",1,"http://digitalcollections.nypl.org/collections/111ce000-f2f6-0130-47ae-58d385a7b928"
"0d0ad4c0-0440-0131-2f9b-58d385a7b928",40911,"The VVhole Booke Of Psalmes Faithfully Translated into English Metre. Whereunto is prefixed a discourse declaring not only the lawfullnes, but also the necessity of the heavenly ordinance of singing Scripture Psalmes in the Churches of God ...","The VVhole Booke Of Psalmes Faithfully Translated into English Metre. Whereunto is prefixed a discourse declaring not only the lawfullnes, but also the necessity of the heavenly ordinance of singing Scripture Psalmes in the Churches of God ...","Cotton, John, 1584-1652 | Mather, Richard, 1596-1669 | Eliot, John, 1604-1690 | Weld, Thomas, 1590?-1662","1640",1640,"","English","","Citation/References Note: Sabin 66428","Bible O.T.: Psalms, Metrical | Bay Psalm book, 1640","","","","","text","Bibles","b14483518","","*KD 1640 (Bible. Old Testament: Psalms. VVhole Booke Of Psalmes)","","","","","","","148 l. 18.5 cm. (8vo.).","","S. Day","Cambridge, Mass.",7,"http://digitalcollections.nypl.org/collections/0d0ad4c0-0440-0131-2f9b-58d385a7b928"
"f856a3c0-0768-0131-347a-58d385a7bbd0",40915,"TheHistory of America ...","TheHistory of America. Illustrated with portraits, maps, and plans.","Robertson, William, 1721-1793",1778,1778,1779,"English","","Ownership and Custodial History Note: Book-plate of Rich'd Bull.","","","","","","","","b14589542","","*KZ 8219-8445 (Robertson, W. History of America)","","","","","","","4 v. 4to.","","W. Strahan T. Cadell","London",4,"http://digitalcollections.nypl.org/collections/f856a3c0-0768-0131-347a-58d385a7bbd0"
"23636ca0-076d-0131-793e-58d385a7b928",40916,"TheHistory and Antiquities of London.","","Pennant, Thomas, 1726-1798","1814",1814,"","","","Note: v. 2-4 have title: Mr. Pennant's History of London, Westminster, and Southwark ...","England--Description and travel","","London (England)","","","","","b14602067","","*KZ 32152-33311 (Pennant, T. History and antiquities of London)","","","","","","","4 v. 55 cm.","","E. Jeffrey","London",1,"http://digitalcollections.nypl.org/collections/23636ca0-076d-0131-793e-58d385a7b928"
"ddc3e8e0-0cf4-0131-9276-58d385a7b928",40925,"Chim-Chim; folk stories from Jamaica","","Smith, Pamela Colman","1905",1905,"","","","","Folklore -- Jamaica","","","","","","","b11663870","","Sc 398-S (Smith, P. Chim-Chim)","","","","","","","","","The Green Sheaf","London",1,"http://digitalcollections.nypl.org/collections/ddc3e8e0-0cf4-0131-9276-58d385a7b928"
"33fc5300-0cff-0131-64bb-58d385a7bbd0",40933,"Universal Negro Improvement Association miscellaneous collection.","","Universal Negro Improvement Association",1918,1918,1948,"","","","","","","","","mixed material","","b18155599","","Sc MG 442","","","","","","","","","","",1,"http://digitalcollections.nypl.org/collections/33fc5300-0cff-0131-64bb-58d385a7bbd0"
"372054f0-0d04-0131-4b3f-58d385a7b928",40934,"Thegreat ""trunk mystery"" of New York City; murder of the beautiful Miss Alice A. Bowlsby, of Paterson, N.J. ...","","Rosenzweig, Jacob, b. 1831 or 2 | Bowlsby, Alice Augusta, d. 1871","1872",1872,"","English","","Note: Lettered on cover: Trial of Rosenzweig.","Trials (Murder)","Bowlsby, Alice Augusta, d. 1871","","","","","","b14347794","","SLN p.v. 19, no. 3","","","","","","","87 p. front. illus., por., plan.","","Barclay","Philadelphia",2,"http://digitalcollections.nypl.org/collections/372054f0-0d04-0131-4b3f-58d385a7b928"
"aa18cd70-0d99-0131-bfae-3c075448cc4b",40939,"General Collection","","","","","","","","","Dance","","","","","moving image","Filmed dance | Motion pictures | Video recording | moving images","","","","","","","","","","","","","",6,"http://digitalcollections.nypl.org/collections/aa18cd70-0d99-0131-bfae-3c075448cc4b"
"8b8e68c0-1eea-0131-e81c-58d385a7bbd0",40966,"Miscellaneous manuscripts","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"http://digitalcollections.nypl.org/collections/8b8e68c0-1eea-0131-e81c-58d385a7bbd0"
"dec972d0-23af-0131-2af4-58d385a7bbd0",40971,"Trow business directory of the boroughs of Manhattan and the Bronx, city of New York","Trow's business directory of the boroughs of Manhattan and the Bronx, city of New York 1898-1902","Trow City Directory Company",1848,1848,1909,"English","","Reproduction Note: Microfilm. 1848-1909:[Gaps]. New York : New York Public Library, 1992. 20 microfilm reels ; 35 mm. (MN *ZZAN-20237).","Commerce","","New York (N.Y.) | Manhattan (New York, N.Y.) | Bronx (New York, N.Y.)","","","text","Directories","b11750502","","IZ (New York. New York City.) Directory","","","","","","","v.19 cm","","Trow directory, Printing and Bookbinding Co.","New York",2,"http://digitalcollections.nypl.org/collections/dec972d0-23af-0131-2af4-58d385a7bbd0"
"6d06fbe0-27a3-0131-57dd-58d385a7b928",40975,"Sefer Lida","","Manor, Alexander","1970",1970,"","Hebrew","","Language Note: Partly in Yiddish.","Jews, Belarusian | Jews | Belarus | Lida | Yeshivas | Zionism","","","","","text","Memorial books (Holocaust)","b13925128","","*P (Yizkor books. Reprint. Lida)","","","","","","","438, xvii p. : ill., facsims., maps, ports. ; 31 cm.","","Irgun yotse Lida be-Yiśraʼel u-Ṿaʻad ha-ʻezrah li-Yehude Lida be-Artsot ha-Berit","Tel Aviv",1,"http://digitalcollections.nypl.org/collections/6d06fbe0-27a3-0131-57dd-58d385a7b928"
"9d7c5240-2a14-0131-988d-58d385a7bbd0",40981,"Jewish American Cookbooks","","","","","","","","","Jewish cooking","","","","","text","Community cookbooks","","","","","","","","","","","","","",6,"http://digitalcollections.nypl.org/collections/9d7c5240-2a14-0131-988d-58d385a7bbd0"
"c22e3530-305d-0131-8a9d-58d385a7bbd0",40988,"Loie Fuller papers","","Fuller, Loie, 1862-1928",1892,1892,1913,"","","Note: Most of the autobiographical material published in Paris under title, Quinze ans de ma vie, F. Juven, 1908, and in London under title, Fifteen years of a dancer's life, H. Jenkins, 1913.","","","","","","","autobiography | writings","b12176972","","(S) *MGZMC-Res. 5","","","","","","","47 folders (679 items), 1 slipcase (25 items)","","","",1,"http://digitalcollections.nypl.org/collections/c22e3530-305d-0131-8a9d-58d385a7bbd0"
"d1b32720-3433-0131-2050-58d385a7b928",40992,"The whirlpool","","Gissing, George, 1857-1903","1897",1897,"","English","","Note: Publisher's ads 14 and [2] p. at end, dated November 1896.","","","","","","text","Books","b13166527","","NCW (Gissing, G. R. Whirlpool. London, 1897)","","","","","","","[5], 2-453, [4], 2-14, [2] p. ; 20 cm","","Lawrence and Bullen","London",1,"http://digitalcollections.nypl.org/collections/d1b32720-3433-0131-2050-58d385a7b928"
"5ae10330-382c-0131-ca58-58d385a7b928",41002,"Thehouse in good taste.","","De Wolfe, Elsie, 1865-1950","1913",1913,"","English","","General Note: Illustrated with photographs in color and black and white.","Interior decoration","","","","","","","b13932282","","3-MLO (Mendl, E. D. W. House in good taste. 1913)","","","","","","","6 p. ℓ., 3-322 p. incl. front. (port.) plates (part col.) 23 cm.","","The Century Co.","New York",1,"http://digitalcollections.nypl.org/collections/5ae10330-382c-0131-ca58-58d385a7b928"
"4471f3a0-4be5-0131-008d-58d385a7b928",41022,"Theart of drawings on stone...","","Hullmandel, Charles Joseph, 1789-1850","1824",1824,"","","","","","","","","","","","b13996456","","MDP (Hullmandel, C. Art of drawings on stone)","","","","","","","92 p. 4to.","","C. Hullmandel","London",1,"http://digitalcollections.nypl.org/collections/4471f3a0-4be5-0131-008d-58d385a7b928"
"fde42230-5ba4-0131-4e20-58d385a7b928",41053,"Daphnis et Chloé","Daphnis et Chloé / [d'après la traduction de J. Amyot, revue, corrigée et complétée par Paul-Louis Courier. Lettre de Paul-Louis Courier à M. Renouard, libraire, sur une tache faite à un manuscrit de florence.] Compositions de Raphaël Collin, gravées à l'eau-forte par Champollion. Préface de Jules Clarétie.","Longus | Amyot, Jacques, 1513-1593 | Champollion, Eugène-André, 1848-1901 | Courier, Paul-Louis, 1772-1825 | Claretie, Jules, 1840-1913 | Collin, Louis Joseph Raphael, 1850-1916","1890",1890,"","French","","Note: no. 21 of fifty copies on Japan paper.","Romances, Byzantine","","","","","","","b16833796","","Spencer Coll. French 1890+","","","","","","","6 p.l., viii, 190 p., 1 l., 12 pl. 94 extra pl. 4̕.","","H. Launette et Cie.","Paris",1,"http://digitalcollections.nypl.org/collections/fde42230-5ba4-0131-4e20-58d385a7b928"
"082139a0-5c5e-0131-26b7-58d385a7b928",41056,"ThePrinter's helper","","",1929,1929,1952,"English","","Note: Description based on: No. 43 (1932)","Printing--Periodicals","","","","","","Periodicals","b15479725","","*IPA (Kelsey Press Company, Meriden, Conn. Printer's helper)","","","","","","","nos. : ill. ; 28 cm.","","The Kelsey Press, Co.","Meriden, Conn.",1,"http://digitalcollections.nypl.org/collections/082139a0-5c5e-0131-26b7-58d385a7b928"
"7ae3d3e0-5ec1-0131-327b-58d385a7b928",41071,"A specimen of printing types","A specimen of printing types, by William Caslon, letter-founder, London.","Caslon, William, 1754-1833","1785",1785,"","English","","General Note: Five leaves of specimens, four of them headed ""Eliz. Caslon's new ... "" and notice of the purchase of the Chiswell street letter foundry and its continuation as Firm of Eliz. Caslon and co., 1 leaf, dated ""London, July 1799"" and signed in ms. ""Caslon & Catherwood,"" bound at end.","Printing | Type specimens","","","","","still image","type specimens | specimens","b14145830","","*KF 1785 (Caslon, H. W., & company, ltd., London. Specimen of printing types)","","","","","","25906270","51 l. 21.5 cm.","","Printed by Galabin and Baker","London",4,"http://digitalcollections.nypl.org/collections/7ae3d3e0-5ec1-0131-327b-58d385a7b928"
"83d86c30-61dc-0131-7f9f-58d385a7b928",41075,"Wiener strassenbilder im zeitalter des rokoko; die wiener ansichten von Schütz, Ziegler, Janscha 1779-1798; beschreibendes verzeichnis, eingeleitet und bearbeitet von Dr. Ignaz Schwarz; mit einem prolog von Rudolf Hans Bartsch ...","","Schwartz, Ignaz, 1867-","1914",1914,"","","","Note: Facsimile has title and text in German and French with title: Sammlung von 57 Aussichten der Residenzstadt Wien ... gezeichnet, und gestochen von Karl Schütz und von Johann Ziegler ... A Vienne, chez Artaria Comp.","Streets--Austria--Vienna","","","","","","","b13995422","","MDZ+ (Schwartz, I. Wiener Strassenbilder im Zeitalter des Rokoko)","","","","","","","xlvi, 101 p., 4 ℓ. illus., 57 pl (6 col.)","","Gilhofer","Wien",1,"http://digitalcollections.nypl.org/collections/83d86c30-61dc-0131-7f9f-58d385a7b928"
"b68de600-64f0-0131-2907-58d385a7b928",41090,"R. H. Burnside collection","","Burnside, R. H. (Robert Hubberthorne), 1873-1952",1905,1905,1952,"","Showman R.H. Burnside (1870-1952) was born in Glasgow to a theatrical family. His career began at London's Savoy Theatre in the 1880's where he worked backstage for the D'Oyly Carte Opera Company on its original productions of Gilbert and Sullivan operettas. After moving to America, Burnside staged over 200 shows during his career, including many musicals for which he wrote music, libretti and lyrics. He was most closely identified with his direction of the popular musical extravaganzas at N.Y.'s Hippodrome Theatre between 1908-1923.","Source Note: Approximately 100 plays by Burnside as sole or co-author donated with the Burnside papers may be found as bound typescripts in the Theatre Division. Search The New York Public Library Catalog using Burnside, R. H. as author","Musicals | Revues | Theater | New York (State) | New York | Production and direction","","","","","text | still image","Archival materials","b18358405","","*T-Mss 1952-002","","","","","","","34.4 linear feet (76 boxes)","","","",774,"http://digitalcollections.nypl.org/collections/b68de600-64f0-0131-2907-58d385a7b928"
"f4e42460-65de-0131-f0bc-58d385a7bbd0",41091,"Illustrated Sporting News","","",1903,1903,1906,"","","Date/Sequential Designation Note: Published May 16, 1903-Sept. 23, 1905.","Sports--Periodicals","","","","","text | still image","Periodicals","b15009638","","MVA++ (Illustrated Sporting News)","","","","","","","v. ill.","","","",3,"http://digitalcollections.nypl.org/collections/f4e42460-65de-0131-f0bc-58d385a7bbd0"
"736b0d50-699d-0131-a74e-58d385a7bbd0",41096,"Robert Southey collection of papers, 1793-1959 bulk (1798-1839).","","Southey, Robert, 1774-1843",1793,1793,1959,"English","This is a synthetic collection that includes manuscripts, correspondence, an undated commonplace book, and an undated notebook. The manuscripts consist of holograph poems and portions of novels. The correspondence includes letters from the author, dating from [1794] to 1839, to Joseph Cottle, John Abraham Heraud, Edward Moxon, Edith Fricker Southey, and others. Also present are letters relating to the author, dating from ca. 1816 to 1959, between various correspondents including Richard Brudenell Exton, Charles Southey, W. H. Somerton, Caroline Southey, Lord Ashley, earl of Shaftesbury, and others. There are letters to Southey from Joanna Baillie, George Howland Beaumont, George Canning, A. Anderson Feldborg, Samuel Carter Hall, Benjamin Robert Haydon, William Hayley, Charles Lamb, Walter Savage Landor, Robert Sheldon MacKenzie, Sir Walter Scott, Lord Ashley, earl of Shaftesbury, Caroline Bowles Southey, William Wordsworth, and others, dating from [1798] to 1839.","","","Southey, Robert, 1774-1843","","","","text","Correspondence | Manuscripts","b15922507","","Berg Coll MSS Southey","","","","","","","106 items.","","","",1,"http://digitalcollections.nypl.org/collections/736b0d50-699d-0131-a74e-58d385a7bbd0"
